text,retweet_count,favorite_count,is_retweet,date,score
RT Bhuvanbagga The world's newest amp biggest cricket stadium  also the venue of joint ModiTrump visit in western India's Gujarat stat,4611,0,0,2020-02-19,9.88311
RT WhiteHouse No law that kicks 180 million Americans off their plans is acceptable While Democrats abandon Obamacare for more socialism,12041,0,0,2019-04-13,10.755595
We will be having a big rally for Governor MattBevin on Monday night in Kentucky Get your tickets today ,13014,42063,0,2019-10-31,10.989359
In a letter to me sent by Kim Jong Un he stated very nicely that he would like to meet and start negotiations as soon as the joint US/South Korea joint exercise are over It was a long letter much of it complaining about the ridiculous and expensive exercises It was,20696,109733,0,2019-08-10,10.117211
RT DonaldJTrumpJr Pair of Brooklyn lawyers including Ivy League corporate attorney charged in Molotov cocktail attack on NYPD cruiser  ht,16697,0,0,2020-06-04,10.208799
The world is at war with a hidden enemy WE WILL WIN,111168,563794,0,2020-03-18,9.692352
Incredible young strong and brilliant people Army/Navy ,13944,74390,0,2019-12-14,8.772954
RT WhiteHouse Simply put Walls work and walls save lives ,16668,0,0,2019-04-06,10.917129
RT FLOTUS Thank you Kenya   ,15837,0,1,2018-10-10,11.065336
RT BaylorWBB Thank you to realDonaldTrump and the WhiteHouse staff for a great experience for the Lady BearsSicEm ,9929,0,0,2019-04-30,10.442236
RT mikepence RealDonaldTrump is doing his job to SECURE OUR BORDER CBP is doing their job Its time for Congress to do its job and,14462,0,0,2019-04-07,10.290157
If we bought 15 Billion Dollars of Agriculture from our Farmers far more than China buys now we would have more than 85 Billion Dollars left over for new Infrastructure Healthcare or anything else China would greatly slow down and we would automatically speed up,15135,70650,0,2019-05-10,9.944702
What happened is that Donald Trump won Down goes Comey foxandfriends,14127,67186,0,2019-05-17,10.435882
The Amazon Washington Post did a story that I brought racist attacks against the Squad No they brought racist attacks against our Nation All I do is call them out for the horrible things they have said The Democrats have become the Party of the Squad,25257,100784,0,2019-09-02,9.695399
misrepresenting what took place inside of the hospital Their news conference after I left for El Paso was a fraud It bore no resemblance to what took place with those incredible people that I was so lucky to meet and spend time with They were all amazingo,20499,103748,0,2019-08-08,9.805545
A brave former fighter jet pilot and warrior Senator Martha McSally of Arizona has done an outstanding job in DC and is fully supportive of our agenda  she is with us all the way,14551,82067,0,2019-06-26,9.42537
RT MLBONFOX Tony Gwynn would have turned 60 years old today Mr Padre had a legendary careerFirst Ballot Hall of Fame Inductee8 N,2717,0,0,2020-05-09,9.315358
I think that China felt they were being beaten so badly in the recent negotiation that they may as well wait around for the next election 2020 to see if they could get lucky amp have a Democrat win  in which case they would continue to ripoff the USA for 500 Billion a year,26036,116215,0,2019-05-11,10.470198
Big Rally in Kentucky on Monday night for a man who has worked really hard amp done a GREAT job Governor MattBevin Kentucky is having the best economic year ever under Matts leadership He is a fantastic guy who loves our Military our Vets and our 2nd Amendment Vote Tuesday,15457,57980,0,2019-11-02,10.463049
Denver4VA of the 5th District in Virginia is a popular guy who really knows how to get the job done Really big help with Tax Cuts the Military and our great Vets He has my Total Endorsement,9917,39632,0,2018-10-30,10.396048
I always treated the Chinese Virus very seriously and have done a very good job from the beginning including my very early decision to close the borders from China  against the wishes of almost all Many lives were saved The Fake News new narrative is disgraceful amp false,61030,310151,0,2020-03-18,9.36753
The Democrats are trying to draw out this inquiry because they dont have the support Donald Trump is guilty only of winning the 2016 Election MZHemingway foxandfriends,15895,62152,0,2019-10-22,10.647808
RT SenMikeLee These brave men and women have risked their lives protecting DC for three days Rioting looting arson and vandalism have,14322,0,0,2020-06-06,10.584678
RT BrandonStraka Leave Democrat cities Let them rot The media and TheDemocrats have activated this mental illness and its going to ge,10299,0,0,2020-08-16,10.05209
The Fake News Media is doing everything possible to belittle my VERY successful trip to London for NATO I got along great with the NATO leaders even getting them to pay 130 Billion a year more amp 400 Billion a year more in 3 years No increase for US only deep respect,33874,148848,0,2019-12-05,9.248595
Republicans had a deal until Nancy Pelosi rode into town from her extended vacation The Democrats want the Virus to win They are asking for things that have nothing to do with our great workers or companies They want Open Borders amp Green New Deal Republicans shouldnt agree,49112,196419,0,2020-03-24,9.614706
Congressman Buddy Carter BuddyCarter keeps fighting for the incredible people of Georgia Buddy has my Complete and Total Endorsement Vote for Buddy GA01,8260,30677,0,2020-06-07,10.064379
My Administration and I built the greatest economy in history of any country turned it off saved millions of lives and now am building an even greater economy than it was before Jobs are flowing NASDAQ is already at a record high the rest to follow Sit back amp watch,23439,104936,0,2020-08-18,9.382325
RT TomFitton FISA Fraud of Historic Proportions And DOJ is Complaining About realDonaldTrump's Tweets Remarkable,8199,0,0,2020-02-19,10.085916
As bad as CNN is Comcast MSNBC is worse Their ratings are also way down because they have lost all credibility I believe their stories about me are not 93 negative but actually 100 negative They are incapable of saying anything positive despite all of the great things,13264,58116,0,2019-09-09,10.115408
Larry Kudlow on Varneyco now,4794,26264,0,2019-09-06,10.712563
RT charliekirk11 Despite the lefts best attempts at destroying a salute to America the place is PACKEDGod bless realDonaldTrump and,23720,0,0,2019-07-05,10.420614
RT AndrewCMcCarthy For laughs rehearsing  The Rosenstein Memo ,4515,0,0,2020-05-10,9.895592
RT GOPChairwoman Biden and Bernie are both heading toward the socialist cliff just in different vehicles Bernies is a red Ferrari wh,7705,0,0,2020-03-22,10.165576
RT JessieJaneDuff Lefty holier than thou Media Matters founder David Brock who spends millions targeting President Trump is accused of,9401,0,0,2020-04-26,9.729922
